,,,,
Id,featureKey,question_pt,question_en,category
45,isWesternHemisphere,Este país fica no hemisfério ocidental?,Is this country in the Western Hemisphere?,GEOGRAFIA
46,areaOver100k,A área territorial é maior que 100.000 km²?,"Is this country's area larger than 100,000 km²?",GEOGRAFIA
47,areaOver500k,A área territorial é maior que 500.000 km²?,"Is this country's area larger than 500,000 km²?",CULTURA
48,hasMultipleTimezones,Este país tem mais de 1 fuso horário?,Does this country have more than one time zone?,CULTURA
49,populationOver50M,Este país tem mais de 50 milhões de habitantes?,Does this country have more than 50 million inhabitants?,DEMOGRAFIA
50,populationUnder1M,Este país tem menos de 1 milhão de habitantes?,Does this country have less than 1 million inhabitants?,ECONOMIA
51,hasSingleOfficialLanguage,O país possui apenas uma língua oficial reconhecida em todo o nível nacional?,Does the country have only one official language recognized at the national level?,LINGUAGEM
52,officialLanguageEnglish,O idioma oficial principal é o Inglês?,Is English the primary official language?,LINGUAGEM
53,hasOfficialLanguageArabic,O Árabe é um dos idiomas oficiais?,Is Arabic one of the official languages?,LINGUAGEM
54,hasOfficialLanguageFrench,O Francês é um dos idiomas oficiais?,Is French one of the official languages?,LINGUAGEM
55,officialLanguageSpanish,O Espanhol é o idioma oficial?,Is Spanish the official language?,LINGUAGEM
56,officialLanguagePortuguese,O Português é o idioma oficial?,Is Portuguese the official language?,LINGUAGEM
57,drivesOnLeft,Neste país a condução é pela esquerda?,Do people drive on the left side of the road?,CULTURA
58,usesEuroCurrency,Este país usa o Euro como moeda oficial?,Does this country use the Euro?,ECONOMIA
59,usesUSDCurrency,Este país usa o Dólar americano como moeda oficial?,Does this country use the US Dollar?,ECONOMIA
60,hasOwnNationalCurrency,O país possui e emite sua própria moeda soberana?,Does the country have and issue its own sovereign currency?,ECONOMIA
61,isArchipelago,O território deste país é um arquipélago?,Is this country's territory an archipelago?,RELIGIÃO
62,crossedByEquator,A Linha do Equador corta este país?,Does the Equator pass through this country?,ECONOMIA
63,bordersMediterranean,Este país é banhado pelo Mar Mediterrâneo?,Is this country bordered by the Mediterranean Sea?,ECONOMIA
64,usesNonLatinScript,O principal sistema de escrita do país utiliza um alfabeto não Latim ?,Does the country's main writing system use a non-Latin alphabet?,LINGUAGEM
65,predominantReligionIslam,O Islamismo é a maior ou a segunda maior religião deste país?,Is Islam the largest or second-largest religion in this country?,RELIGIÃO
66,predominantReligionChristianity,O Cristianismo é a maior ou a segunda maior religião deste país?,Is Christianity the largest or second-largest religion in this country?,RELIGIÃO
67,predominantReligionBuddhism,O Budismo é a maior ou a segunda maior religião deste país?,Is Buddhism the largest or second-largest religion in this country?,RELIGIÃO
68,predominantReligionHinduism,O Hinduísmo é a maior ou a segunda maior religião deste país?,Is Hinduism the largest or second-largest religion in this country?,RELIGIÃO
69,hasNoReligionPredominant,A maioria da população não possui afiliação religiosa?,Does the majority of the population have no religious affiliation?,RELIGIÃO
70,isG20Member,Este país é membro do G20?,Is this country a member of the G20?,POLITICA
71,isG7Member,Este país é membro do G7?,Is this country a member of the G7?,POLITICA
72,isBricsMember,Este país faz parte do BRICS?,Is this country a member of BRICS?,POLITICA
73,isEuMember,Este país é membro da União Europeia?,Is this country a member of the European Union?,POLITICA
74,isMonarchy,"O país possui uma família real própria ou um monarca residente (rei, rainha, imperador, emir ou sultão)","Does the country have its own royal family or a resident monarch (king, queen, emperor, emir, or sultan)?",POLITICA
75,wasBritishEmpire,O país foi uma colônia importante ou tem forte herança do Império Britânico (Inglaterra)?,Was the country an important colony or does it have strong British (English) Empire heritage?,HISTORIA
76,colonizedByIberian,O país foi uma colônia importante ou tem forte herança de Portugal ou Espanha?,Was the country an important colony or does it have strong Portuguese or Spanish heritage?,HISTORIA
77,wasSovietUnion,Este país fez parte da antiga União Soviética?,Was this country part of the former Soviet Union?,HISTORIA
78,flagHasGreen,A bandeira tem a cor verde?,Does the flag contain green?,BANDEIRA
79,flagHasStars,A bandeira possui estrelas?,Does the flag contain stars?,BANDEIRA
80,flagIsTricolor,A bandeira é tricolor (três faixas)?,Is the flag a tricolor?,BANDEIRA
81,flagHasEmblem,"A bandeira possui símbolo, emblema ou brasão?",Does the flag contain a symbol or emblem?,BANDEIRA
82,flagHasYellowOrGolden,A bandeira tem a cor amarela ou dourada?,Does the flag contain yellow or gold?,BANDEIRA
83,wonMensWorldCup,A seleção masculina de futebol já venceu uma Copa do Mundo?,Has this country's men's national team won a World Cup?,HISTORIA
84,hostedMegaSportingEvent,O país já sediou uma Olimpíada de Verão ou uma Copa do Mundo FIFA?,Has this country ever hosted a Summer Olympic Games or a FIFA World Cup?,HISTORIA
85,hasWonderOfTheWorld,Este país possui uma das Maravilhas Mundo?,Has this country one of the Wonders of the World?,GEOGRAFIA
